SampleID,SampleNumber,Project,Location,SiteID,ProfileID,NatBiome,CoverType,Position,Lithology,SoilFormation,MinDepth,MaxDepth,MidDepth,Horizon_Full,Horizon,Extractant,ppm_NH4.N,ugNH4.N_gDrySoil,ppm_NO3.N,ugNO3.N_gDrySoil,ppm_PO4.P,ugPO4.P_gDrySoil,RootMass_mg_gsoil,pH,STL_SoilP_ExtractionMethod,STL_SoilP_ppm,STL_ugP_gDrySoil,Soil_PercC,Soil_MgCg,SoilPO4.P_ug_g,MAP,DomVeg,P_Efficiency
CC1-FRES-0-4,486,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,0,4,2,Oe,O,Apase,0.6256,3.389595857,0,0,1.637268329,8.870968581,8.4817894,6.43,Mehlich-3,30,300,6.78809,67.8809,2.2933,600,Deciduous woody spp,0.029569895
CC1-FRES-0-4,267,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,0,4,2,Oe,O,Malic Acid,0.8897,4.801247666,0,0,2.823719428,15.23814355,8.4817894,6.43,Mehlich-3,30,300,6.78809,67.8809,2.2933,600,Deciduous woody spp,0.050793812
CC1-FRES-0-4,48,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,0,4,2,Oe,O,Oxalic Acid,0.4872,2.671915379,0,0,3.310981535,18.15817423,8.4817894,6.43,Mehlich-3,30,300,6.78809,67.8809,2.2933,600,Deciduous woody spp,0.060527247
CC1-FRES-22-30,50,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,22,30,26,Bwt1,B,Oxalic Acid,1.2117,6.593130347,0,0,1.248785228,6.794919356,8.62728602,NA,Mehlich-3,10,100,3.26926,32.6926,0.4413,600,Deciduous woody spp,0.067949194
CC1-FRES-22-30,488,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,22,30,26,Bwt1,B,Apase,0.4357,2.366027816,0,0,0.2845,1.544950456,8.62728602,NA,Mehlich-3,10,100,3.26926,32.6926,0.4413,600,Deciduous woody spp,0.015449505
CC1-FRES-22-30,269,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,22,30,26,Bwt1,B,Malic Acid,1.5221,8.282086078,0,0,0.514030499,2.796954759,8.62728602,NA,Mehlich-3,10,100,3.26926,32.6926,0.4413,600,Deciduous woody spp,0.027969548
CC1-FRES-30-43,270,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,30,43,36.5,Bwt2,B,Malic Acid,0.5451,2.950841801,0,0,0.247341,1.338954617,6.009388508,6.53,Mehlich-3,11,110,2.52187,25.2187,0.0183,600,Deciduous woody spp,0.012172315
CC1-FRES-30-43,489,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,30,43,36.5,Bwt2,B,Apase,0.1581,0.84229966,0,0,0.0681,0.362812188,6.009388508,6.53,Mehlich-3,11,110,2.52187,25.2187,0.0183,600,Deciduous woody spp,0.003298293
CC1-FRES-30-43,51,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,30,43,36.5,Bwt2,B,Oxalic Acid,0.5324,2.859080969,0,0,1.04664723,5.620678392,6.009388508,6.53,Mehlich-3,11,110,2.52187,25.2187,0.0183,600,Deciduous woody spp,0.051097076
CC1-FRES-4-22,487,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,4,22,13,A,A,Apase,0.4649,2.597831112,0,0,0.425853141,2.379639791,8.961276748,NA,Mehlich-3,18,180,4.35775,43.5775,1.0467,600,Deciduous woody spp,0.013220221
