SampleID,Project,Location,SiteID,ProfileID,CoverType,Position,MinDepth,MaxDepth,MidDepth,RootMass_mg_gsoil,Horizon,Soil_PercC
CC1-FRES-0-4,FRES,Coal Creek,Coal Creek (FRES),CC1,Aspen,Midslope,0,4,2,8.4817894,O,6.78809
CC1-FRES-4-22,FRES,Coal Creek,Coal Creek (FRES),CC1,Aspen,Midslope,4,22,13,8.961276748,A,4.35775
CC1-FRES-22-30,FRES,Coal Creek,Coal Creek (FRES),CC1,Aspen,Midslope,22,30,26,8.62728602,B,3.26926
CC1-FRES-30-43,FRES,Coal Creek,Coal Creek (FRES),CC1,Aspen,Midslope,30,43,36.5,6.009388508,B,2.52187
CC1-FRES-43-59,FRES,Coal Creek,Coal Creek (FRES),CC1,Aspen,Midslope,43,59,51,2.010882358,B,2.11489
CC1-FRES-59-100,FRES,Coal Creek,Coal Creek (FRES),CC1,Aspen,Midslope,59,100,79.5,1.509379852,B,1.29596
CC2-FRES-0-5,FRES,Coal Creek,Coal Creek (FRES),CC2,Spruce,Toeslope,0,5,2.5,18.08711354,O,10.275
CC2-FRES-5-21,FRES,Coal Creek,Coal Creek (FRES),CC2,Spruce,Toeslope,5,21,13,7.170889603,A,3.22972
CC2-FRES-21-61.5,FRES,Coal Creek,Coal Creek (FRES),CC2,Spruce,Toeslope,21,61.5,41.25,1.256647702,B,0.585858
CC2-FRES-61.5-64,FRES,Coal Creek,Coal Creek (FRES),CC2,Spruce,Toeslope,61.5,64,62.75,0.101169384,A,1.14458
CC2-FRES-64-70,FRES,Coal Creek,Coal Creek (FRES),CC2,Spruce,Toeslope,64,70,67,0.823465727,B,0.686105
CC2-FRES-70-72,FRES,Coal Creek,Coal Creek (FRES),CC2,Spruce,Toeslope,70,72,71,2.946433566,B,0.842438
CC2-FRES-72-96,FRES,Coal Creek,Coal Creek (FRES),CC2,Spruce,Toeslope,72,96,84,0.582645046,C,0.442651
CC3-FRES-0-2,FRES,Coal Creek,Coal Creek (FRES),CC3,Spruce,Midslope,0,2,1,27.66833926,O,20.8658
CC3-FRES-2-10,FRES,Coal Creek,Coal Creek (FRES),CC3,Spruce,Midslope,2,10,6,14.04939275,A,3.80363
CC3-FRES-10-21,FRES,Coal Creek,Coal Creek (FRES),CC3,Spruce,Midslope,10,21,15.5,4.401126923,B,2.9235
CC3-FRES-21-61,FRES,Coal Creek,Coal Creek (FRES),CC3,Spruce,Midslope,21,61,41,18.13552044,B,2.06325
CC3-FRES-61-92,FRES,Coal Creek,Coal Creek (FRES),CC3,Spruce,Midslope,61,92,76.5,8.49829502,B,2.32886
CC4-FRES-0-1,FRES,Coal Creek,Coal Creek (FRES),CC4,Aspen,Toeslope,0,1,0.5,NA,O,4.58535
CC4-FRES-1-10,FRES,Coal Creek,Coal Creek (FRES),CC4,Aspen,Toeslope,1,10,5.5,5.371641479,A,1.61022
CC4-FRES-10-40,FRES,Coal Creek,Coal Creek (FRES),CC4,Aspen,Toeslope,10,40,25,3.432532925,B,2.2644
CC4-FRES-40-58,FRES,Coal Creek,Coal Creek (FRES),CC4,Aspen,Toeslope,40,58,49,1.384842871,C,1.63533
CC4-FRES-58-73,FRES,Coal Creek,Coal Creek (FRES),CC4,Aspen,Toeslope,58,73,65.5,1.245358063,C,2.63843
CC5-FRES-0-4,FRES,Coal Creek,Coal Creek (FRES),CC5,Spruce,Midslope,0,4,2,74.18724623,O,20.6932
CC5-FRES-4-7,FRES,Coal Creek,Coal Creek (FRES),CC5,Spruce,Midslope,4,7,5.5,9.284265172,A,3.60322
CC5-FRES-7-15,FRES,Coal Creek,Coal Creek (FRES),CC5,Spruce,Midslope,7,15,11,11.68800598,E,1.4628
CC5-FRES-15-21,FRES,Coal Creek,Coal Creek (FRES),CC5,Spruce,Midslope,15,21,18,14.39605517,B,1.46282
CC5-FRES-21-37.5,FRES,Coal Creek,Coal Creek (FRES),CC5,Spruce,Midslope,21,37.5,29.25,4.746380004,B,1.19484
CC5-FRES-37.5-53,FRES,Coal Creek,Coal Creek (FRES),CC5,Spruce,Midslope,37.5,53,45.25,4.522174055,B,1.39777
CC5-FRES-53-69,FRES,Coal Creek,Coal Creek (FRES),CC5,Spruce,Midslope,53,69,61,2.463327479,B,1.17697
CC5-FRES-69-100,FRES,Coal Creek,Coal Creek (FRES),CC5,Spruce,Midslope,69,100,84.5,0.201307624,C,0.834581
CC5-FRES-100,FRES,Coal Creek,Coal Creek (FRES),CC5,Spruce,Midslope,100,100,100,NA,C,1.02853
R8-H-M-0-10,FRES,Calhoun,Calhoun (FRES),R8-H-M,Hardwood,Midslope,0,10,5,8.071821074,A,1.47949
R8-H-M-10-20,FRES,Calhoun,Calhoun (FRES),R8-H-M,Hardwood,Midslope,10,20,15,1.67027728,E,0.724057
R8-H-M-20-30,FRES,Calhoun,Calhoun (FRES),R8-H-M,Hardwood,Midslope,20,30,25,0.722387254,E,0.481561
